project,description,start_date,start_time,end_date,end_time,duration,type,effort_hours
INF3001,class,2022-10-07,13:10:00,2022-10-07,14:50:00,01:40:00,Course Work,1.6666666666666667
INF2241,moral prompt,2022-10-07,20:29:53,2022-10-07,22:13:03,01:43:10,Course Work,1.7194444444444446
Lit Review,Reading,2022-10-07,22:30:46,2022-10-07,23:33:58,01:03:12,Research,1.0533333333333332
INF2241,Assignment 1,2022-10-08,11:00:00,2022-10-08,12:00:00,01:00:00,Course Work,1
Lit Review,Reading,2022-10-08,13:48:48,2022-10-08,15:00:58,01:12:10,Research,1.2027777777777777
Lit Review,Reading,2022-10-08,21:22:41,2022-10-08,22:57:29,01:34:48,Research,1.58
Lit Review,Reading,2022-10-10,21:36:45,2022-10-10,22:15:23,00:38:38,Research,0.6438888888888888
INF2241,Assignment 1,2022-10-11,10:27:22,2022-10-11,12:08:43,01:41:21,Course Work,1.6891666666666667
TA-INF2208,GPP,2022-10-11,12:08:45,2022-10-11,13:15:46,01:07:01,TA,1.1169444444444445
INF2241,class + assignment 1,2022-10-11,13:10:00,2022-10-11,17:30:00,04:20:00,Course Work,4.333333333333333
TA-INF2208,GPP,2022-10-11,17:46:42,2022-10-11,17:56:06,00:09:24,TA,0.15666666666666668
Lit Review,Reading,2022-10-12,09:03:03,2022-10-12,11:27:42,02:24:39,Research,2.410833333333333
INF2241,Assignment 1,2022-10-12,15:05:00,2022-10-12,17:52:34,02:47:34,Course Work,2.792777777777778
Lit Review,Reading,2022-10-12,22:39:59,2022-10-12,23:35:02,00:55:03,Research,0.9175
Cookie Lab,Lab Meeting ,2022-10-13,10:10:00,2022-10-13,11:00:00,00:50:00,Other Activities,0.8333333333333334
INF2241,Assignment 1,2022-10-13,11:34:24,2022-10-13,14:14:46,02:40:22,Course Work,2.6727777777777777
INF2241,Assignment 1,2022-10-13,15:15:34,2022-10-13,15:35:30,00:19:56,Course Work,0.3322222222222222
TA-INF2208,tutorial,2022-10-13,17:30:00,2022-10-13,19:30:00,02:00:00,TA,2
TA-INF2208,presentation 1,2022-10-13,19:30:00,2022-10-13,20:15:00,00:45:00,TA,0.75
INF2208,class,2022-10-13,19:30:12,2022-10-13,20:30:20,01:00:08,Learning,1.0022222222222221
INF2241,Assignment 1,2022-10-14,11:07:32,2022-10-14,11:55:45,00:48:13,Course Work,0.8036111111111112
Talks,Toronto Data Workshop,2022-10-14,12:00:00,2022-10-14,13:00:00,01:00:00,Learning,1
INF3001,Class,2022-10-14,13:10:27,2022-10-14,15:00:37,01:50:10,Course Work,1.836111111111111
INF2241,Assignment 1,2022-10-14,18:30:20,2022-10-14,22:34:16,04:03:56,Course Work,4.065555555555555
INF2241,Assignment 1,2022-10-15,10:17:09,2022-10-15,12:33:32,02:16:23,Course Work,2.2730555555555556
INF2241,Assignment 1,2022-10-15,13:30:57,2022-10-15,14:45:57,01:15:00,Course Work,1.25
INF2241,Assignment 1,2022-10-15,21:30:16,2022-10-15,22:30:16,01:00:00,Course Work,1
TA-INF2208,IPP,2022-10-17,09:01:18,2022-10-17,09:44:14,00:42:56,TA,0.7155555555555555
Cookie Lab,Transcript Preparation Workshop,2022-10-17,10:00:00,2022-10-17,11:00:00,01:00:00,Other Activities,1
INF2241,Reading,2022-10-17,11:25:30,2022-10-17,13:08:54,01:43:24,Course Work,1.7233333333333334
Lit Review,Reading,2022-10-17,14:00:02,2022-10-17,15:40:39,01:40:37,Research,1.6769444444444443
CCT419,class,2022-10-17,17:10:29,2022-10-17,19:50:29,02:40:00,Learning,2.6666666666666665
INF2241,Assignment 1,2022-10-17,21:00:50,2022-10-17,21:58:02,00:57:12,Course Work,0.9533333333333334
INF2241,Assignment 1 - presentation,2022-10-18,11:00:10,2022-10-18,13:00:12,02:00:02,Course Work,2.0005555555555556
INF2241,class,2022-10-18,13:10:00,2022-10-18,16:00:00,02:50:00,Course Work,2.8333333333333335
INF2241,Assignment 1,2022-10-18,20:00:00,2022-10-18,21:00:00,01:00:00,Course Work,1
INF2241,Assignment 1,2022-10-19,10:30:36,2022-10-19,13:45:23,03:14:47,Course Work,3.2463888888888888
INF2241,Assignment 1,2022-10-19,15:15:11,2022-10-19,17:33:23,02:18:12,Course Work,2.3033333333333332
Lit Review,Reading,2022-10-19,20:44:34,2022-10-19,22:02:03,01:17:29,Research,1.291388888888889
Cookie Lab,Lab Meeting,2022-10-20,10:10:00,2022-10-20,11:00:00,00:50:00,Other Activities,0.8333333333333334
NA,1:1 with Anastasia,2022-10-20,11:00:00,2022-10-20,12:00:00,01:00:00,Research,1
TA-CCT419,Prepare for class 7 and 8,2022-10-20,13:42:03,2022-10-20,13:58:20,00:16:17,TA,0.2713888888888889
INF3001,Reading,2022-10-20,14:57:10,2022-10-20,16:36:23,01:39:13,Course Work,1.6536111111111111
INF2241,Assignment 1,2022-10-20,16:53:06,2022-10-20,17:40:12,00:47:06,Course Work,0.785
INF2208,class,2022-10-20,18:30:00,2022-10-20,20:45:00,02:15:00,Learning,2.25
Lit Review,Reading,2022-10-21,10:10:03,2022-10-21,11:05:04,00:55:01,Research,0.9169444444444445
Lit Review,Reading,2022-10-21,11:43:28,2022-10-21,12:00:54,00:17:26,Research,0.29055555555555557
INF3001,Class,2022-10-21,13:10:00,2022-10-21,15:00:00,01:50:00,Course Work,1.8333333333333333
Lit Review,Reading,2022-10-21,23:00:38,2022-10-22,00:00:39,01:00:01,Research,1.0002777777777778
Lit Review,Reading,2022-10-22,09:31:02,2022-10-22,12:43:47,03:12:45,Research,3.2125
INF2241,Reading,2022-10-22,23:30:29,2022-10-23,00:41:49,01:11:20,Course Work,1.1888888888888889
INF2241,Reading,2022-10-23,09:42:01,2022-10-23,11:14:20,01:32:19,Course Work,1.5386111111111112
Lit Review,Reading,2022-10-23,17:30:23,2022-10-23,19:13:45,01:43:22,Research,1.7227777777777777
Lit Review,Reading,2022-10-23,20:10:00,2022-10-23,23:29:05,03:19:05,Research,3.3180555555555555
TA-INF2208,GPP,2022-10-24,10:30:31,2022-10-24,11:07:03,00:36:32,TA,0.6088888888888889
TA-CCT419,Game critique 1,2022-10-24,11:11:28,2022-10-24,13:14:05,02:02:37,TA,2.0436111111111113
TA-CCT419,Game critique 1,2022-10-24,14:45:15,2022-10-24,15:58:59,01:13:44,TA,1.228888888888889
TA-CCT419,Game critique 1,2022-10-24,18:18:07,2022-10-24,19:36:43,01:18:36,TA,1.31
TA-CCT419,Game critique 1,2022-10-24,21:48:05,2022-10-25,01:45:36,03:57:31,TA,3.9586111111111113
TA-CCT419,Game critique 1,2022-10-25,00:17:39,2022-10-25,02:00:45,01:43:06,TA,1.7183333333333333
TA-CCT419,Game critique 1,2022-10-25,10:50:45,2022-10-25,13:30:07,02:39:22,TA,2.656111111111111
INF2241,Class,2022-10-25,13:10:00,2022-10-25,16:00:00,02:50:00,Course Work,2.8333333333333335
writing course,class,2022-10-28,10:10:00,2022-10-28,12:00:00,01:50:00,Learning,1.8333333333333333
INF3001,Class,2022-10-28,13:10:00,2022-10-28,15:00:00,01:50:00,Course Work,1.8333333333333333
TA-CCT419,Game critique 1,2022-10-28,21:30:00,2022-10-28,22:30:00,01:00:00,TA,1
TA-CCT419,Marking + tutorial prep,2022-10-29,18:30:12,2022-10-29,20:30:13,02:00:01,TA,2.000277777777778
INF2241,reading,2022-10-29,21:00:00,2022-10-29,22:00:00,01:00:00,Course Work,1
Lit Review,Reading,2022-10-29,21:45:17,2022-10-30,01:20:38,03:35:21,Research,3.589166666666667
Lit Review,Reading,2022-10-30,19:33:31,2022-10-30,23:46:32,04:13:01,Research,4.216944444444445
Lit Review,Synthesis,2022-10-31,12:00:00,2022-10-31,14:30:00,02:30:00,Research,2.5
TA-CCT419,teach class,2022-10-31,16:45:00,2022-10-31,20:00:00,03:15:00,TA,3.25
Lit Review,Meeting with Naver,2022-11-01,09:00:00,2022-11-01,10:00:00,01:00:00,Research,1
TA-CCT419,Marking,2022-11-01,10:30:00,2022-11-01,11:30:00,01:00:00,TA,1
TA-INF2208,Mark IPPs,2022-11-01,11:30:00,2022-11-01,12:00:00,00:30:00,TA,0.5
INF2241,class,2022-11-01,13:10:00,2022-11-01,16:00:00,02:50:00,Course Work,2.8333333333333335
Lit Review,Organizing lit review,2022-11-02,09:00:00,2022-11-02,11:00:00,02:00:00,Research,2
TA-CCT419,Marking,2022-11-02,14:30:59,2022-11-02,14:45:00,00:14:01,TA,0.2336111111111111
Lit Review,Reading,2022-11-02,14:57:22,2022-11-02,17:23:42,02:26:20,Research,2.438888888888889
Cookie Lab,Lab Meeting,2022-11-03,10:10:20,2022-11-03,11:00:30,00:50:10,Other Activities,0.8361111111111111
NA,Admin - TA applications,2022-11-03,11:00:47,2022-11-03,12:30:10,01:29:23,Admin,1.4897222222222222
INF3001,Reading,2022-11-03,14:00:31,2022-11-03,15:00:48,01:00:17,Course Work,1.0047222222222223
writing course,assignment,2022-11-03,15:00:07,2022-11-03,16:00:35,01:00:28,Learning,1.0077777777777779
TA-INF2208,Presentation,2022-11-03,18:30:55,2022-11-03,19:20:12,00:49:17,TA,0.8213888888888888
INF2208,class,2022-11-03,19:20:35,2022-11-03,20:45:35,01:25:00,Learning,1.4166666666666667
writing course,class,2022-11-04,10:10:40,2022-11-04,11:30:41,01:20:01,Learning,1.333611111111111
INF3001,class,2022-11-04,13:10:00,2022-11-04,15:00:00,01:50:00,Course Work,1.8333333333333333
Lit Review,reading,2022-11-04,21:00:00,2022-11-04,23:15:00,02:15:00,Research,2.25
Lit Review,Reading,2022-11-05,11:00:00,2022-11-05,12:20:00,01:20:00,Research,1.3333333333333333
Lit Review,Reading,2022-11-05,17:00:05,2022-11-05,18:00:05,01:00:00,Research,1
Lit Review,Reading,2022-11-06,11:40:21,2022-11-06,12:44:06,01:03:45,Research,1.0625
TA-CCT419,prep lecture,2022-11-06,22:30:00,2022-11-06,23:12:00,00:42:00,TA,0.7
TA-INF2208,GPP,2022-11-07,12:27:30,2022-11-07,12:46:24,00:18:54,TA,0.315
TA-CCT419,prep + lecture,2022-11-07,16:15:00,2022-11-07,20:00:00,03:45:00,TA,3.75
TA-CCT419,Marking,2022-11-08,21:32:30,2022-11-08,23:37:54,02:05:24,TA,2.09
TA-CCT419,Marking,2022-11-10,14:28:05,2022-11-10,18:46:37,04:18:32,TA,4.308888888888889
TA-CCT419,Marking,2022-11-10,21:16:50,2022-11-10,23:38:21,02:21:31,TA,2.358611111111111
TA-CCT419,Marking,2022-11-10,23:53:18,2022-11-11,01:14:51,01:21:33,TA,1.3591666666666666
writing course,class,2022-11-11,10:10:39,2022-11-11,12:03:02,01:52:23,Learning,1.8730555555555555
INF3001,essay,2022-11-12,14:30:34,2022-11-12,17:49:28,03:18:54,Course Work,3.315
INF3001,essay,2022-11-12,19:39:39,2022-11-12,21:18:15,01:38:36,Course Work,1.6433333333333333
INF3001,essay,2022-11-13,10:16:10,2022-11-13,12:53:26,02:37:16,Course Work,2.621111111111111
INF2241,Reading,2022-11-13,21:16:10,2022-11-13,22:50:38,01:34:28,Course Work,1.5744444444444445
Lit Review,Synthesis,2022-11-14,11:24:17,2022-11-14,13:06:00,01:41:43,Research,1.6952777777777779
Lit Review,Synthesis,2022-11-14,14:00:23,2022-11-14,14:29:37,00:29:14,Research,0.4872222222222222
TA-CCT419,Marking,2022-11-14,16:22:24,2022-11-14,16:46:52,00:24:28,TA,0.4077777777777778
TA-CCT419,Marking,2022-11-15,11:00:21,2022-11-15,11:33:01,00:32:40,TA,0.5444444444444444
INF2241,Class,2022-11-15,13:10:00,2022-11-15,16:00:00,02:50:00,Course Work,2.8333333333333335
TA-INF2208,Assignment 1,2022-11-15,16:52:54,2022-11-15,18:04:33,01:11:39,TA,1.1941666666666666
TA-INF2208,Assignment 1,2022-11-15,18:09:10,2022-11-15,18:53:52,00:44:42,TA,0.745
TA-INF2208,Assignment 1,2022-11-15,20:57:07,2022-11-15,23:29:22,02:32:15,TA,2.5375
Lit Review,paper review,2022-11-16,11:00:06,2022-11-16,11:30:06,00:30:00,Research,0.5
Talks,PhD publishing workshop,2022-11-16,11:00:09,2022-11-16,13:00:57,02:00:48,Learning,2.013333333333333
